county_code,econ_active_population
1418,194295.0
1419,63118.0
1420,47688.0
1421,108305.0
1422,27232.0
1423,22234.0
1424,35580.0
1425,80748.0
1426,41294.0
1427,22176.0
1428,42088.0
1429,27254.0
1430,23719.0
1432,112069.0
1433,38616.0
1434,190338.0
1435,55282.0
1436,22458.0
1437,28698.0
1438,48323.0
1461,21048.0
1462,51299.0
1463,87191.0
1464,35587.0
1465,2006298.0
1601,52662.0
1602,32993.0
1603,37129.0
1604,50134.0
1605,45880.0
1606,31115.0
1607,98622.0
1608,45859.0
1609,71694.0
1610,42210.0
1611,54965.0
1661,61633.0
1801,14792.0
1802,35807.0
1803,71216.0
1804,52731.0
1805,48738.0
1806,34529.0
1807,68792.0
1808,34287.0
1809,30061.0
1810,36132.0
1811,71615.0
1812,40423.0
1813,33854.0
1814,40498.0
1815,53938.0
1816,115680.0
1817,41255.0
1818,43185.0
1819,33818.0
1820,32659.0
1821,15084.0
1861,18109.0
1862,22472.0
1863,92435.0
1864,18318.0
2001,25716.0
2002,115156.0
2003,22556.0
2004,22358.0
2005,17281.0
2006,17396.0
2007,25244.0
2008,24182.0
2009,8347.0
2010,19377.0
2011,44788.0
2012,15825.0
2013,33247.0
2014,18114.0
2061,134380.0
2062,24823.0
2063,30369.0
2201,52491.0
2202,57360.0
2203,28446.0
2204,63094.0
2205,111039.0
2206,32708.0
2207,39050.0
2208,26667.0
2209,28777.0
2210,21831.0
2211,48618.0
2212,45994.0
2213,62320.0
2214,62379.0
2215,104098.0
2216,26334.0
2261,240732.0
2262,113180.0
2263,38567.0
2264,14168.0
2401,72862.0
2402,108496.0
2403,97817.0
2404,71001.0
2405,58056.0
2406,52124.0
2407,36539.0
2408,46149.0
2409,41015.0
2410,76846.0
2411,47962.0
2412,50153.0
2413,61255.0
2414,27759.0
2415,62846.0
2416,67980.0
2417,66778.0
2461,79054.0
2462,64389.0
2463,47112.0
2464,95513.0
2465,53074.0
2466,80927.0
2467,34022.0
2468,39759.0
2469,135412.0
2470,33127.0
2471,22581.0
2472,57868.0
2473,56902.0
2474,28711.0
2475,86664.0
2476,20044.0
2477,57414.0
2478,66792.0
2479,26395.0
2601,55291.0
2602,61227.0
2603,24549.0
2604,138736.0
2605,55439.0
2606,30393.0
2607,47339.0
2608,26630.0
2609,40234.0
2610,32434.0
2611,38902.0
2612,53781.0
2613,27822.0
2661,82295.0
2801,25658.0
2802,19263.0
2803,33239.0
2804,34935.0
2805,35625.0
2806,25085.0
2807,49217.0
2808,28565.0
2809,20153.0
2810,23381.0
2811,21809.0
2812,18819.0
2813,22718.0
2814,87823.0
2815,56677.0
2816,41288.0
2817,32867.0
2818,18075.0
2819,15066.0
2861,47446.0
2862,78503.0
3001,32132.0
3002,57708.0
3003,84659.0
3004,66502.0
3005,48035.0
3006,63073.0
3007,52737.0
3008,43860.0
3009,45378.0
3010,84159.0
3011,58270.0
3012,70445.0
3013,38863.0
3014,29413.0
3015,73095.0
3016,53915.0
3017,96637.0
3018,45102.0
3019,75491.0
3020,47526.0
3021,340702.0
3022,55115.0
3023,31184.0
3024,81364.0
3025,47392.0
3026,58298.0
3027,45216.0
3028,41282.0
3029,43917.0
3030,74126.0
3031,39479.0
3061,42699.0
3062,29334.0
3063,29031.0
3064,286417.0
3201,25084.0
3202,33788.0
3203,42708.0
3204,71803.0
3205,42856.0
3206,61681.0
3207,35222.0
3208,36604.0
3209,44634.0
3210,50569.0
3211,58318.0
3212,26356.0
3213,22972.0
3214,58803.0
3215,37381.0
3216,22288.0
3217,27376.0
3218,26202.0
3261,46947.0
3262,187291.0
3263,17863.0
