"Code";"Name";"total;total;total;2021;[person]";"total;total;economically active population;2021;[person]";"total;total;employed;2021;[person]";"total;total;unemployed;2021;[person]";"total;total;economically inactive persons;2021;[person]";"total;total;unidentified status on the labour market;2021;[person]";"total;total;activity rate;2021;[%]";"total;total;employment rate;2021;[%]";"total;total;unemployment rate;2021;[%]";"total;males;total;2021;[person]";"total;males;economically active population;2021;[person]";"total;males;employed;2021;[person]";"total;males;unemployed;2021;[person]";"total;males;economically inactive persons;2021;[person]";"total;males;unidentified status on the labour market;2021;[person]";"total;males;activity rate;2021;[%]";"total;males;employment rate;2021;[%]";"total;males;unemployment rate;2021;[%]";"total;females;total;2021;[person]";"total;females;economically active population;2021;[person]";"total;females;employed;2021;[person]";"total;females;unemployed;2021;[person]";"total;females;economically inactive persons;2021;[person]";"total;females;unidentified status on the labour market;2021;[person]";"total;females;activity rate;2021;[%]";"total;females;employment rate;2021;[%]";"total;females;unemployment rate;2021;[%]";
0409000;"Powiat mogileński";37332;20781;19474;1307;15041;1510;58.0;54.4;6.3;18145;11825;11243;582;5498;822;68.3;64.9;4.9;19187;8956;8231;725;9543;688;48.4;44.5;8.1;
0410000;"Powiat nakielski";69734;38332;36422;1910;27643;3759;58.1;55.2;5.0;34181;21603;20591;1012;10574;2004;67.1;64.0;4.7;35553;16729;15831;898;17069;1755;49.5;46.8;5.4;
0411000;"Powiat radziejowski";33267;18101;16891;1210;14380;786;55.7;52.0;6.7;16324;10265;9721;544;5640;419;64.5;61.1;5.3;16943;7836;7170;666;8740;367;47.3;43.3;8.5;
0412000;"Powiat rypiński";35145;19165;18010;1155;14695;1285;56.6;53.2;6.0;17184;10877;10304;573;5596;711;66.0;62.6;5.3;17961;8288;7706;582;9099;574;47.7;44.3;7.0;
0413000;"Powiat sępoleński";32821;17882;16990;892;13120;1819;57.7;54.8;5.0;16225;10149;9705;444;5123;953;66.5;63.5;4.4;16596;7733;7285;448;7997;866;49.2;46.3;5.8;
0414000;"Powiat świecki";80179;43196;41258;1938;31894;5089;57.5;54.9;4.5;39139;24126;23187;939;12341;2672;66.2;63.6;3.9;41040;19070;18071;999;19553;2417;49.4;46.8;5.2;
0415000;"Powiat toruński";90344;52300;50211;2089;33537;4507;60.9;58.5;4.0;44270;28701;27689;1012;13250;2319;68.4;66.0;3.5;46074;23599;22522;1077;20287;2188;53.8;51.3;4.6;
0416000;"Powiat tucholski";39079;21378;20437;941;16109;1592;57.0;54.5;4.4;19332;12068;11586;482;6406;858;65.3;62.7;4.0;19747;9310;8851;459;9703;734;49.0;46.6;4.9;
0417000;"Powiat wąbrzeski";27756;14808;13967;841;11089;1859;57.2;53.9;5.7;13680;8475;8035;440;4234;971;66.7;63.2;5.2;14076;6333;5932;401;6855;888;48.0;45.0;6.3;
0418000;"Powiat włocławski";70591;38632;36307;2325;29726;2233;56.5;53.1;6.0;34735;21855;20597;1258;11705;1175;65.1;61.4;5.8;35856;16777;15710;1067;18021;1058;48.2;45.1;6.4;
0419000;"Powiat żniński";57382;30778;29591;1187;24096;2508;56.1;53.9;3.9;28072;17607;17091;516;9156;1309;65.8;63.9;2.9;29310;13171;12500;671;14940;1199;46.9;44.5;5.1;
0461000;"City with powiat status Bydgoszcz";292026;155019;149713;5306;113795;23212;57.7;55.7;3.4;134688;80426;77625;2801;42155;12107;65.6;63.3;3.5;157338;74593;72088;2505;71640;11105;51.0;49.3;3.4;
0462000;"City with powiat status Grudziądz";77946;38569;36261;2308;32070;7307;54.6;51.3;6.0;36394;20634;19381;1253;11917;3843;63.4;59.5;6.1;41552;17935;16880;1055;20153;3464;47.1;44.3;5.9;
0463000;"City with powiat status Toruń";170868;92009;88317;3692;65152;13707;58.5;56.2;4.0;78272;47022;45129;1893;24321;6929;65.9;63.3;4.0;92596;44987;43188;1799;40831;6778;52.4;50.3;4.0;
0464000;"City with powiat status Włocławek";91286;45609;42377;3232;38689;6988;54.1;50.3;7.1;42079;23998;22302;1696;14366;3715;62.6;58.1;7.1;49207;21611;20075;1536;24323;3273;47.0;43.7;7.1;
0601000;"Powiat bialski";89306;47808;45518;2290;38058;3440;55.7;53.0;4.8;44263;26767;25435;1332;15654;1842;63.1;60.0;5.0;45043;21041;20083;958;22404;1598;48.4;46.2;4.6;
0602000;"Powiat biłgorajski";83661;44385;42571;1814;34430;4846;56.3;54.0;4.1;40831;24627;23592;1035;13834;2370;64.0;61.3;4.2;42830;19758;18979;779;20596;2476;49.0;47.0;3.9;
0603000;"Powiat chełmski";63617;32563;30052;2511;28054;3000;53.7;49.6;7.7;31401;18383;17022;1361;11478;1540;61.6;57.0;7.4;32216;14180;13030;1150;16576;1460;46.1;42.4;8.1;
0604000;"Powiat hrubieszowski";51414;25703;23429;2274;22752;2959;53.0;48.4;8.8;24962;14257;12905;1352;9184;1521;60.8;55.1;9.5;26452;11446;10524;922;13568;1438;45.8;42.1;8.1;
0605000;"Powiat janowski";37560;19829;18673;1156;15854;1877;55.6;52.3;5.8;18515;11051;10371;680;6553;911;62.8;58.9;6.2;19045;8778;8302;476;9301;966;48.6;45.9;5.4;
0606000;"Powiat krasnostawski";53011;26101;24432;1669;24476;2434;51.6;48.3;6.4;25672;14407;13471;936;10006;1259;59.0;55.2;6.5;27339;11694;10961;733;14470;1175;44.7;41.9;6.3;
0607000;"Powiat kraśnicki";78806;40134;37756;2378;33294;5378;54.7;51.4;5.9;37897;21786;20346;1440;13397;2714;61.9;57.8;6.6;40909;18348;17410;938;19897;2664;48.0;45.5;5.1;
0608000;"Powiat lubartowski";72328;39700;37357;2343;29738;2890;57.2;53.8;5.9;35123;21739;20382;1357;11911;1473;64.6;60.6;6.2;37205;17961;16975;986;17827;1417;50.2;47.4;5.5;
0609000;"Powiat lubelski";132909;78131;75684;2447;50461;4317;60.8;58.9;3.1;64587;41793;40381;1412;20498;2296;67.1;64.8;3.4;68322;36338;35303;1035;29963;2021;54.8;53.2;2.8;
0610000;"Powiat łęczyński";46593;25552;24652;900;18896;2145;57.5;55.5;3.5;22667;13868;13391;477;7677;1122;64.4;62.2;3.4;23926;11684;11261;423;11219;1023;51.0;49.2;3.6;
0611000;"Powiat łukowski";84196;47577;45834;1743;34035;2584;58.3;56.2;3.7;41507;26459;25469;990;13611;1437;66.0;63.6;3.7;42689;21118;20365;753;20424;1147;50.8;49.0;3.6;
0612000;"Powiat opolski";48539;25974;24511;1463;20313;2252;56.1;53.0;5.6;23436;14202;13300;902;8099;1135;63.7;59.6;6.4;25103;11772;11211;561;12214;1117;49.1;46.7;4.8;
0613000;"Powiat parczewski";28322;14459;13766;693;12349;1514;53.9;51.4;4.8;13867;7978;7611;367;5073;816;61.1;58.3;4.6;14455;6481;6155;326;7276;698;47.1;44.7;5.0;
0614000;"Powiat puławski";94149;49378;47043;2335;40461;4310;55.0;52.4;4.7;44430;26351;25043;1308;15838;2241;62.5;59.4;5.0;49719;23027;22000;1027;24623;2069;48.3;46.2;4.5;
0615000;"Powiat radzyński";47218;26176;24846;1330;19457;1585;57.4;54.4;5.1;23376;14650;13836;814;7881;845;65.0;61.4;5.6;23842;11526;11010;516;11576;740;49.9;47.7;4.5;
0616000;"Powiat rycki";44680;24123;23204;919;19226;1331;55.6;53.5;3.8;21930;13334;12810;524;7868;728;62.9;60.4;3.9;22750;10789;10394;395;11358;603;48.7;46.9;3.7;
0617000;"Powiat świdnicki";60051;31922;30367;1555;25086;3043;56.0;53.3;4.9;28576;16911;16039;872;10062;1603;62.7;59.5;5.2;31475;15011;14328;683;15024;1440;50.0;47.7;4.5;
0618000;"Powiat tomaszowski";68315;35397;33316;2081;28891;4027;55.1;51.8;5.9;33310;19628;18423;1205;11665;2017;62.7;58.9;6.1;35005;15769;14893;876;17226;2010;47.8;45.1;5.6;
0619000;"Powiat włodawski";31047;15083;14098;985;14205;1759;51.5;48.1;6.5;15192;8343;7795;548;5898;951;58.6;54.7;6.6;15855;6740;6303;437;8307;808;44.8;41.9;6.5;
0620000;"Powiat zamojski";87872;46363;43793;2570;37162;4347;55.5;52.4;5.5;43062;25813;24301;1512;15083;2166;63.1;59.4;5.9;44810;20550;19492;1058;22079;2181;48.2;45.7;5.1;
0661000;"City with powiat status Biała Podlaska";46776;25529;23800;1729;18784;2463;57.6;53.7;6.8;21967;13353;12357;996;7357;1257;64.5;59.7;7.5;24809;12176;11443;733;11427;1206;51.6;48.5;6.0;
0662000;"City with powiat status Chełm";51709;25375;23318;2057;22746;3588;52.7;48.5;8.1;23780;13029;11918;1111;8891;1860;59.4;54.4;8.5;27929;12346;11400;946;13855;1728;47.1;43.5;7.7;
0663000;"City with powiat status Lublin";286219;158356;150753;7603;109971;17892;59.0;56.2;4.8;129656;79072;74746;4326;41514;9070;65.6;62.0;5.5;156563;79284;76007;3277;68457;8822;53.7;51.4;4.1;
0664000;"City with powiat status Zamość";51921;26087;24273;1814;21673;4161;54.6;50.8;7.0;23961;13466;12426;1040;8354;2141;61.7;56.9;7.7;27960;12621;11847;774;13319;2020;48.7;45.7;6.1;
0801000;"Powiat gorzowski";60104;34336;33327;1009;21562;4206;61.4;59.6;2.9;29644;18755;18212;543;8656;2233;68.4;66.4;2.9;30460;15581;15115;466;12906;1973;54.7;53.1;3.0;
0802000;"Powiat krośnieński";45740;23746;22638;1108;18449;3545;56.3;53.7;4.7;22280;13133;12538;595;7344;1803;64.1;61.2;4.5;23460;10613;10100;513;11105;1742;48.9;46.5;4.8;
0803000;"Powiat międzyrzecki";47313;25519;24346;1173;18665;3129;57.8;55.1;4.6;23140;14076;13442;634;7415;1649;65.5;62.5;4.5;24173;11443;10904;539;11250;1480;50.4;48.1;4.7;
0804000;"Powiat nowosolski";70640;36201;34533;1668;28951;5488;55.6;53.0;4.6;34095;19801;18911;890;11364;2930;63.5;60.7;4.5;36545;16400;15622;778;17587;2558;48.3;46.0;4.7;
0805000;"Powiat słubicki";38944;21429;20595;834;14042;3473;60.4;58.1;3.9;18923;11494;11006;488;5563;1866;67.4;64.5;4.2;20021;9935;9589;346;8479;1607;54.0;52.1;3.5;
