"Code";"Name";"total;total;2021;[person]";"total;tertiary;2021;[person]";"total;secondary and post-secondary - total;2021;[person]";"total;basic vocational/sectoral;2021;[person]";"total;lower secondary, primary, primary not completed and without school education;2021;[person]";"males;total;2021;[person]";"males;tertiary;2021;[person]";"males;secondary and post-secondary - total;2021;[person]";"males;basic vocational/sectoral;2021;[person]";"males;lower secondary, primary, primary not completed and without school education;2021;[person]";"females;total;2021;[person]";"females;tertiary;2021;[person]";"females;secondary and post-secondary - total;2021;[person]";"females;basic vocational/sectoral;2021;[person]";"females;lower secondary, primary, primary not completed and without school education;2021;[person]";
0661000;"City with powiat status Biała Podlaska";23800;10757;8717;3257;821;12357;4464;4897;2259;570;11443;6293;3820;998;251;
0662000;"City with powiat status Chełm";23318;10418;9193;2737;772;11918;4193;5181;1874;541;11400;6225;4012;863;231;
0663000;"City with powiat status Lublin";150753;84747;46133;13520;4608;74746;35901;25871;8915;2967;76007;48846;20262;4605;1641;
0664000;"City with powiat status Zamość";24273;10883;9482;2939;733;12426;4432;5371;1963;517;11847;6451;4111;976;216;
0801000;"Powiat gorzowski";33327;9869;11948;8280;2762;18212;3971;6403;5756;1772;15115;5898;5545;2524;990;
0802000;"Powiat krośnieński";22638;5125;9269;6159;1756;12538;1933;4922;4251;1205;10100;3192;4347;1908;551;
0803000;"Powiat międzyrzecki";24346;6124;9681;6496;1747;13442;2418;5208;4494;1116;10904;3706;4473;2002;631;
0804000;"Powiat nowosolski";34533;8535;14225;8522;2724;18911;3309;7515;5928;1808;15622;5226;6710;2594;916;
0805000;"Powiat słubicki";20595;5146;8475;4747;1861;11006;2005;4390;3169;1227;9589;3141;4085;1578;634;
0806000;"Powiat strzelecko-drezdenecki";20463;4504;7336;6431;2017;11412;1641;3828;4459;1355;9051;2863;3508;1972;662;
0807000;"Powiat sulęciński";14890;3412;6189;3964;1151;8169;1317;3348;2687;699;6721;2095;2841;1277;452;
0808000;"Powiat świebodziński";24261;6121;9651;6481;1665;13251;2442;5064;4407;1107;11010;3679;4587;2074;558;
0809000;"Powiat zielonogórski";33651;9221;12667;9123;2267;18500;3639;6682;6425;1510;15151;5582;5985;2698;757;
0810000;"Powiat żagański";30799;7514;13356;7390;2129;16944;2901;7274;5136;1360;13855;4613;6082;2254;769;
0811000;"Powiat żarski";38559;9226;16307;9942;2561;21011;3591;8679;6792;1608;17548;5635;7628;3150;953;
0812000;"Powiat wschowski";16170;3487;5862;5308;1317;9083;1273;3155;3634;891;7087;2214;2707;1674;426;
0861000;"City with powiat status Gorzów Wielkopolski";52126;19101;19652;9617;2927;27043;7848;10196;6668;1804;25083;11253;9456;2949;1123;
0862000;"City with powiat status Zielona Góra";64787;30385;22476;8631;2396;33428;13177;12140;6042;1528;31359;17208;10336;2589;868;
1001000;"Powiat bełchatowski";50266;16431;20000;10390;3039;27279;6373;11281;7259;2075;22987;10058;8719;3131;964;
1002000;"Powiat kutnowski";41491;11464;17490;9218;3043;22501;4443;9438;6356;2077;18990;7021;8052;2862;966;
1003000;"Powiat łaski";22985;6360;9068;5733;1627;12222;2328;4868;3783;1117;10763;4032;4200;1950;510;
1004000;"Powiat łęczycki";22348;5323;9313;5262;2303;12113;1987;4959;3477;1595;10235;3336;4354;1785;708;
1005000;"Powiat łowicki";35768;10247;15198;8019;2040;19156;3848;8352;5393;1396;16612;6399;6846;2626;644;
