"Code";"Name";"total;total;2021;[person]";"total;15-24;2021;[person]";"total;25-34;2021;[person]";"total;35-44;2021;[person]";"total;45-54;2021;[person]";"total;55-64;2021;[person]";"total;65 and more;2021;[person]";"males;total;2021;[person]";"males;15-24;2021;[person]";"males;25-34;2021;[person]";"males;35-44;2021;[person]";"males;45-54;2021;[person]";"males;55-64;2021;[person]";"males;65 and more;2021;[person]";"females;total;2021;[person]";"females;15-24;2021;[person]";"females;25-34;2021;[person]";"females;35-44;2021;[person]";"females;45-54;2021;[person]";"females;55-64;2021;[person]";"females;65 and more;2021;[person]";
3009000;"Powiat kolski";35908;3136;7918;9727;8744;5426;957;20179;1889;4538;5309;4569;3269;605;15729;1247;3380;4418;4175;2157;352;
3010000;"Powiat koniński";57837;5242;13172;16007;14289;7837;1290;32706;3259;7554;8747;7603;4700;843;25131;1983;5618;7260;6686;3137;447;
3011000;"Powiat kościański";38494;3892;8876;10319;8275;5924;1208;21517;2335;4917;5660;4222;3594;789;16977;1557;3959;4659;4053;2330;419;
3012000;"Powiat krotoszyński";36617;3958;8441;9787;7839;5552;1040;20372;2335;4736;5234;4022;3397;648;16245;1623;3705;4553;3817;2155;392;
3013000;"Powiat leszczyński";29132;2997;6918;8478;6179;3870;690;16296;1839;3756;4545;3257;2422;477;12836;1158;3162;3933;2922;1448;213;
3014000;"Powiat międzychodzki";16731;1767;3726;4392;3679;2565;602;9404;1026;2096;2426;1920;1546;390;7327;741;1630;1966;1759;1019;212;
3015000;"Powiat nowotomyski";37982;4141;8654;10484;7877;5517;1309;20793;2354;4675;5604;4102;3264;794;17189;1787;3979;4880;3775;2253;515;
3016000;"Powiat obornicki";28096;2903;6227;8049;5894;4039;984;15609;1670;3480;4362;3094;2382;621;12487;1233;2747;3687;2800;1657;363;
3017000;"Powiat ostrowski";75337;6518;17391;20317;16963;11456;2692;41265;3735;9576;10906;8702;6698;1648;34072;2783;7815;9411;8261;4758;1044;
3018000;"Powiat ostrzeszowski";26698;2739;6225;6973;6000;3948;813;14730;1637;3466;3713;3123;2315;476;11968;1102;2759;3260;2877;1633;337;
3019000;"Powiat pilski";59201;4814;12592;16697;13310;9511;2277;32391;2850;7031;8808;6756;5498;1448;26810;1964;5561;7889;6554;4013;829;
3020000;"Powiat pleszewski";28386;2766;6300;7878;6552;4068;822;15948;1710;3544;4287;3444;2449;514;12438;1056;2756;3591;3108;1619;308;
3021000;"Powiat poznański";223404;14483;49404;72717;49653;28639;8508;117285;8018;24787;37221;25676;16209;5374;106119;6465;24617;35496;23977;12430;3134;
3022000;"Powiat rawicki";28486;3206;6532;7961;6123;3897;767;15889;1943;3635;4216;3255;2361;479;12597;1263;2897;3745;2868;1536;288;
3023000;"Powiat słupecki";26710;2542;6018;7248;6104;4038;760;15005;1518;3367;3935;3199;2488;498;11705;1024;2651;3313;2905;1550;262;
3024000;"Powiat szamotulski";45543;4324;10018;13145;9803;6724;1529;24921;2509;5387;6993;5065;3959;1008;20622;1815;4631;6152;4738;2765;521;
3025000;"Powiat średzki";29121;2737;6898;8191;6100;4214;981;16155;1561;3725;4455;3247;2508;659;12966;1176;3173;3736;2853;1706;322;
3026000;"Powiat śremski";29873;2989;7043;8198;6369;4378;896;16422;1732;3854;4401;3324;2562;549;13451;1257;3189;3797;3045;1816;347;
3027000;"Powiat turecki";37434;3323;8663;10301;8966;5274;907;20440;1965;4833;5499;4565;3008;570;16994;1358;3830;4802;4401;2266;337;
3028000;"Powiat wągrowiecki";32533;3629;7507;8656;6765;4958;1018;18488;2175;4241;4774;3593;3020;685;14045;1454;3266;3882;3172;1938;333;
3029000;"Powiat wolsztyński";28419;3209;6583;7709;6126;3961;831;15766;1923;3597;4124;3188;2408;526;12653;1286;2986;3585;2938;1553;305;
3030000;"Powiat wrzesiński";37696;3631;8890;10608;8008;5341;1218;20904;2025;4851;5780;4166;3278;804;16792;1606;4039;4828;3842;2063;414;
3031000;"Powiat złotowski";28853;2765;6599;7713;6255;4688;833;16283;1665;3722;4236;3287;2829;544;12570;1100;2877;3477;2968;1859;289;
3061000;"City with powiat status Kalisz";41615;2917;8313;11468;10051;6780;2086;21502;1632;4377;5859;4860;3670;1104;20113;1285;3936;5609;5191;3110;982;
3062000;"City with powiat status Konin";28400;1832;5986;7591;6973;4651;1367;15027;1049;3363;3960;3425;2458;772;13373;783;2623;3631;3548;2193;595;
3063000;"City with powiat status Leszno";28377;2210;5936;7975;6414;4484;1358;15041;1183;3189;4171;3148;2522;828;13336;1027;2747;3804;3266;1962;530;
3064000;"City with powiat status Poznań";279792;22019;81144;74899;49594;36185;15951;141289;10850;40557;38027;24105;18852;8898;138503;11169;40587;36872;25489;17333;7053;
3201000;"Powiat białogardzki";18093;1610;3812;4844;4160;3001;666;9898;949;2108;2613;2115;1731;382;8195;661;1704;2231;2045;1270;284;
3202000;"Powiat choszczeński";18073;1459;3888;4668;4117;3266;675;10273;846;2280;2570;2194;1954;429;7800;613;1608;2098;1923;1312;246;
3203000;"Powiat drawski";21781;1761;4512;5978;4807;3906;817;11934;980;2476;3173;2464;2332;509;9847;781;2036;2805;2343;1574;308;
3204000;"Powiat goleniowski";36071;3126;7526;10154;8044;5766;1455;19682;1767;4126;5335;4161;3362;931;16389;1359;3400;4819;3883;2404;524;
3205000;"Powiat gryficki";23220;1867;4820;6276;5126;4118;1013;12954;1108;2723;3393;2671;2442;617;10266;759;2097;2883;2455;1676;396;
3206000;"Powiat gryfiński";33512;3047;6930;9096;7629;5659;1151;18660;1735;3926;4943;3978;3338;740;14852;1312;3004;4153;3651;2321;411;
3207000;"Powiat kamieński";17970;1246;3754;4843;3860;3324;943;9972;735;2094;2617;2007;1955;564;7998;511;1660;2226;1853;1369;379;
3208000;"Powiat kołobrzeski";33742;2417;6516;9126;7654;6169;1860;17655;1368;3446;4619;3760;3387;1075;16087;1049;3070;4507;3894;2782;785;
3209000;"Powiat koszaliński";28917;2299;5912;8133;6614;4967;992;16030;1311;3291;4360;3460;2973;635;12887;988;2621;3773;3154;1994;357;
3210000;"Powiat myśliborski";26088;2231;5331;7355;5804;4429;938;14581;1334;3015;3940;2982;2710;600;11507;897;2316;3415;2822;1719;338;
3211000;"Powiat policki";39544;2271;7585;12109;9728;6116;1735;20545;1242;3826;6133;4876;3401;1067;18999;1029;3759;5976;4852;2715;668;
3212000;"Powiat pyrzycki";15820;1381;3403;4225;3559;2680;572;8804;788;1893;2304;1835;1629;355;7016;593;1510;1921;1724;1051;217;
3213000;"Powiat sławieński";22238;1886;4874;5851;5033;3803;791;12162;1125;2690;3122;2548;2203;474;10076;761;2184;2729;2485;1600;317;
3214000;"Powiat stargardzki";50914;3680;11574;14293;10996;8306;2065;27974;2024;6397;7793;5657;4802;1301;22940;1656;5177;6500;5339;3504;764;
3215000;"Powiat szczecinecki";28756;2175;6177;7551;6690;5105;1058;15798;1218;3460;4016;3401;3055;648;12958;957;2717;3535;3289;2050;410;
3216000;"Powiat świdwiński";16898;1173;3595;4552;3821;3135;622;9452;686;2051;2472;1997;1866;380;7446;487;1544;2080;1824;1269;242;
3217000;"Powiat wałecki";21486;1839;4437;5889;4871;3671;779;12020;1074;2486;3229;2568;2171;492;9466;765;1951;2660;2303;1500;287;
3218000;"Powiat łobeski";13463;1296;2773;3457;2939;2513;485;7545;730;1573;1869;1566;1506;301;5918;566;1200;1588;1373;1007;184;
3261000;"City with powiat status Koszalin";46160;2549;10088;13365;9760;7383;3015;23793;1358;5145;6927;4763;3866;1734;22367;1191;4943;6438;4997;3517;1281;
3262000;"City with powiat status Szczecin";179608;11125;43132;50271;37323;27458;10299;91486;5568;21679;25572;18276;14602;5789;88122;5557;21453;24699;19047;12856;4510;
3263000;"City with powiat status Świnoujście";16905;855;3429;4368;3821;3152;1280;8673;460;1737;2267;1841;1663;705;8232;395;1692;2101;1980;1489;575;
