"Code";"Name";"total;total;2021;[person]";"total;15-24;2021;[person]";"total;25-34;2021;[person]";"total;35-44;2021;[person]";"total;45-54;2021;[person]";"total;55-64;2021;[person]";"total;65 and more;2021;[person]";"males;total;2021;[person]";"males;15-24;2021;[person]";"males;25-34;2021;[person]";"males;35-44;2021;[person]";"males;45-54;2021;[person]";"males;55-64;2021;[person]";"males;65 and more;2021;[person]";"females;total;2021;[person]";"females;15-24;2021;[person]";"females;25-34;2021;[person]";"females;35-44;2021;[person]";"females;45-54;2021;[person]";"females;55-64;2021;[person]";"females;65 and more;2021;[person]";
0806000;"Powiat strzelecko-drezdenecki";20463;1833;4281;5561;4487;3509;792;11412;1085;2389;3038;2343;2106;451;9051;748;1892;2523;2144;1403;341;
0807000;"Powiat sulęciński";14890;1156;3328;4107;3211;2550;538;8169;663;1825;2220;1644;1473;344;6721;493;1503;1887;1567;1077;194;
0808000;"Powiat świebodziński";24261;2189;5367;6733;5187;3919;866;13251;1185;2947;3627;2645;2303;544;11010;1004;2420;3106;2542;1616;322;
0809000;"Powiat zielonogórski";33651;2814;7469;9636;7287;5166;1279;18500;1689;4100;5154;3748;2980;829;15151;1125;3369;4482;3539;2186;450;
0810000;"Powiat żagański";30799;2459;6283;8805;6977;5154;1121;16944;1461;3460;4752;3587;2977;707;13855;998;2823;4053;3390;2177;414;
0811000;"Powiat żarski";38559;3179;8063;10837;8666;6359;1455;21011;1783;4502;5765;4435;3643;883;17548;1396;3561;5072;4231;2716;572;
0812000;"Powiat wschowski";16170;1613;3511;4445;3599;2497;505;9083;998;1984;2412;1909;1485;295;7087;615;1527;2033;1690;1012;210;
0861000;"City with powiat status Gorzów Wielkopolski";52126;3110;11114;15170;11469;8461;2802;27043;1681;5725;7780;5589;4640;1628;25083;1429;5389;7390;5880;3821;1174;
0862000;"City with powiat status Zielona Góra";64787;3849;14477;19581;13644;9752;3484;33428;2060;7361;9976;6780;5195;2056;31359;1789;7116;9605;6864;4557;1428;
1001000;"Powiat bełchatowski";50266;3383;11075;15146;10815;8568;1279;27279;1896;6007;8200;5465;4867;844;22987;1487;5068;6946;5350;3701;435;
1002000;"Powiat kutnowski";41491;2777;8651;10994;10020;7593;1456;22501;1575;4805;5912;4971;4378;860;18990;1202;3846;5082;5049;3215;596;
1003000;"Powiat łaski";22985;1707;4988;6360;5471;3726;733;12222;955;2643;3363;2683;2169;409;10763;752;2345;2997;2788;1557;324;
1004000;"Powiat łęczycki";22348;1784;4912;5892;5297;3747;716;12113;1059;2689;3095;2611;2218;441;10235;725;2223;2797;2686;1529;275;
1005000;"Powiat łowicki";35768;2786;7708;9752;8427;5904;1191;19156;1586;4140;5131;4160;3407;732;16612;1200;3568;4621;4267;2497;459;
1006000;"Powiat łódzki wschodni";35304;2176;6848;10230;8901;5697;1452;18335;1223;3555;5214;4341;3161;841;16969;953;3293;5016;4560;2536;611;
1007000;"Powiat opoczyński";32594;2881;7383;8878;7701;4990;761;18180;1754;4165;4832;3897;3069;463;14414;1127;3218;4046;3804;1921;298;
1008000;"Powiat pabianicki";54916;3304;11204;16138;13259;8756;2255;28315;1824;5753;8191;6432;4844;1271;26601;1480;5451;7947;6827;3912;984;
1009000;"Powiat pajęczański";22730;1841;4975;5988;5633;3711;582;12803;1106;2818;3237;2911;2367;364;9927;735;2157;2751;2722;1344;218;
1010000;"Powiat piotrkowski";41558;3468;9239;11838;10168;5957;888;22833;2045;5138;6224;5219;3641;566;18725;1423;4101;5614;4949;2316;322;
1011000;"Powiat poddębicki";18750;1517;4122;4909;4662;3000;540;10274;893;2262;2624;2333;1823;339;8476;624;1860;2285;2329;1177;201;
1012000;"Powiat radomszczański";47680;3697;10414;12758;12021;7432;1358;26477;2300;5888;6922;6143;4412;812;21203;1397;4526;5836;5878;3020;546;
1013000;"Powiat rawski";22836;1626;5159;6045;5233;3949;824;12328;908;2797;3196;2617;2294;516;10508;718;2362;2849;2616;1655;308;
1014000;"Powiat sieradzki";53892;4350;11915;13973;13023;8998;1633;29152;2495;6595;7415;6472;5194;981;24740;1855;5320;6558;6551;3804;652;
1015000;"Powiat skierniewicki";18283;1427;4288;5059;4223;2831;455;9979;802;2356;2700;2108;1711;302;8304;625;1932;2359;2115;1120;153;
1016000;"Powiat tomaszowski";49328;3608;10470;13870;12002;7761;1617;26296;2119;5726;7225;5925;4347;954;23032;1489;4744;6645;6077;3414;663;
1017000;"Powiat wieluński";34353;2722;7291;9300;8311;5747;982;19006;1647;4060;4971;4251;3474;603;15347;1075;3231;4329;4060;2273;379;
1018000;"Powiat wieruszowski";20859;2136;4677;5595;4835;3100;516;11624;1232;2651;3012;2475;1907;347;9235;904;2026;2583;2360;1193;169;
1019000;"Powiat zduńskowolski";28675;2150;6154;8007;6831;4624;909;15399;1239;3316;4244;3386;2681;533;13276;911;2838;3763;3445;1943;376;
1020000;"Powiat zgierski";78076;4882;15505;22457;19424;12463;3345;40388;2718;7994;11354;9654;6788;1880;37688;2164;7511;11103;9770;5675;1465;
1021000;"Powiat brzeziński";14333;1030;3124;4036;3461;2175;507;7553;562;1717;2083;1683;1233;275;6780;468;1407;1953;1778;942;232;
