,code,powiat,year,sex,education,count
206,1816000,Powiat rzeszowski,2021,total,total,78231
207,1817000,Powiat sanocki,2021,total,total,37391
208,1818000,Powiat stalowowolski,2021,total,total,40667
209,1819000,Powiat strzyżowski,2021,total,total,25337
210,1820000,Powiat tarnobrzeski,2021,total,total,21556
211,1821000,Powiat leski,2021,total,total,10527
212,1861000,City with powiat status Krosno,2021,total,total,18202
213,1862000,City with powiat status Przemyśl,2021,total,total,21574
214,1863000,City with powiat status Rzeszów,2021,total,total,90672
215,1864000,City with powiat status Tarnobrzeg,2021,total,total,18460
216,2001000,Powiat augustowski,2021,total,total,23645
217,2002000,Powiat białostocki,2021,total,total,67616
218,2003000,Powiat bielski,2021,total,total,22886
219,2004000,Powiat grajewski,2021,total,total,18189
220,2005000,Powiat hajnowski,2021,total,total,16031
221,2006000,Powiat kolneński,2021,total,total,15129
222,2007000,Powiat łomżyński,2021,total,total,21694
223,2008000,Powiat moniecki,2021,total,total,15825
224,2009000,Powiat sejneński,2021,total,total,8186
225,2010000,Powiat siemiatycki,2021,total,total,18221
226,2011000,Powiat sokólski,2021,total,total,26568
227,2012000,Powiat suwalski,2021,total,total,15971
228,2013000,Powiat wysokomazowiecki,2021,total,total,24637
229,2014000,Powiat zambrowski,2021,total,total,18167
230,2061000,City with powiat status Białystok,2021,total,total,133296
231,2062000,City with powiat status Łomża,2021,total,total,25070
232,2063000,City with powiat status Suwałki,2021,total,total,30234
233,2201000,Powiat bytowski,2021,total,total,33547
234,2202000,Powiat chojnicki,2021,total,total,41334
235,2203000,Powiat człuchowski,2021,total,total,21710
236,2204000,Powiat gdański,2021,total,total,60876
237,2205000,Powiat kartuski,2021,total,total,69802
238,2206000,Powiat kościerski,2021,total,total,32007
239,2207000,Powiat kwidzyński,2021,total,total,34229
240,2208000,Powiat lęborski,2021,total,total,26034
241,2209000,Powiat malborski,2021,total,total,25424
242,2210000,Powiat nowodworski,2021,total,total,13959
243,2211000,Powiat pucki,2021,total,total,39791
244,2212000,Powiat słupski,2021,total,total,41914
245,2213000,Powiat starogardzki,2021,total,total,53916
246,2214000,Powiat tczewski,2021,total,total,48953
247,2215000,Powiat wejherowski,2021,total,total,101627
248,2216000,Powiat sztumski,2021,total,total,15727
249,2261000,City with powiat status Gdańsk,2021,total,total,235124
250,2262000,City with powiat status Gdynia,2021,total,total,111547
251,2263000,City with powiat status Słupsk,2021,total,total,37202
252,2264000,City with powiat status Sopot,2021,total,total,14135
253,2401000,Powiat będziński,2021,total,total,65280
254,2402000,Powiat bielski,2021,total,total,77809
255,2403000,Powiat cieszyński,2021,total,total,78806
256,2404000,Powiat częstochowski,2021,total,total,60326
257,2405000,Powiat gliwicki,2021,total,total,50006
258,2406000,Powiat kłobucki,2021,total,total,38626
259,2407000,Powiat lubliniecki,2021,total,total,32993
260,2408000,Powiat mikołowski,2021,total,total,45465
261,2409000,Powiat myszkowski,2021,total,total,30001
262,2410000,Powiat pszczyński,2021,total,total,51391
263,2411000,Powiat raciborski,2021,total,total,42514
264,2412000,Powiat rybnicki,2021,total,total,32507
265,2413000,Powiat tarnogórski,2021,total,total,60847
266,2414000,Powiat bieruńsko-lędziński,2021,total,total,27603
267,2415000,Powiat wodzisławski,2021,total,total,62232
268,2416000,Powiat zawierciański,2021,total,total,49370
269,2417000,Powiat żywiecki,2021,total,total,66080
270,2461000,City with powiat status Bielsko-Biała,2021,total,total,76716
271,2462000,City with powiat status Bytom,2021,total,total,62638
272,2463000,City with powiat status Chorzów,2021,total,total,45720
273,2464000,City with powiat status Częstochowa,2021,total,total,93129
274,2465000,City with powiat status Dąbrowa Górnicza,2021,total,total,52073
275,2466000,City with powiat status Gliwice,2021,total,total,79619
276,2467000,City with powiat status Jastrzębie-Zdrój,2021,total,total,33604
277,2468000,City with powiat status Jaworzno,2021,total,total,39323
278,2469000,City with powiat status Katowice,2021,total,total,133428
279,2470000,City with powiat status Mysłowice,2021,total,total,32415
280,2471000,City with powiat status Piekary Śląskie,2021,total,total,22167
281,2472000,City with powiat status Ruda Śląska,2021,total,total,57217
282,2473000,City with powiat status Rybnik,2021,total,total,56232
283,2474000,City with powiat status Siemianowice Śląskie,2021,total,total,28161
284,2475000,City with powiat status Sosnowiec,2021,total,total,83920
285,2476000,City with powiat status Świętochłowice,2021,total,total,19682
286,2477000,City with powiat status Tychy,2021,total,total,56136
287,2478000,City with powiat status Zabrze,2021,total,total,65298
288,2479000,City with powiat status Żory,2021,total,total,26160
289,2601000,Powiat buski,2021,total,total,30596
290,2602000,Powiat jędrzejowski,2021,total,total,35976
291,2603000,Powiat kazimierski,2021,total,total,14181
292,2604000,Powiat kielecki,2021,total,total,96009
293,2605000,Powiat konecki,2021,total,total,30752
294,2606000,Powiat opatowski,2021,total,total,21023
295,2607000,Powiat ostrowiecki,2021,total,total,39888
296,2608000,Powiat pińczowski,2021,total,total,16202
297,2609000,Powiat sandomierski,2021,total,total,31944
298,2610000,Powiat skarżyski,2021,total,total,27526
299,2611000,Powiat starachowicki,2021,total,total,35731
300,2612000,Powiat staszowski,2021,total,total,30533
301,2613000,Powiat włoszczowski,2021,total,total,19224
302,2661000,City with powiat status Kielce,2021,total,total,81120
303,2801000,Powiat bartoszycki,2021,total,total,20436
304,2802000,Powiat braniewski,2021,total,total,15195
305,2803000,Powiat działdowski,2021,total,total,27084
306,2804000,Powiat elbląski,2021,total,total,22491
307,2805000,Powiat ełcki,2021,total,total,35437
308,2806000,Powiat giżycki,2021,total,total,22546
309,2807000,Powiat iławski,2021,total,total,39770
310,2808000,Powiat kętrzyński,2021,total,total,21483
311,2809000,Powiat lidzbarski,2021,total,total,15744
312,2810000,Powiat mrągowski,2021,total,total,20191
313,2811000,Powiat nidzicki,2021,total,total,13106
314,2812000,Powiat nowomiejski,2021,total,total,18605
315,2813000,Powiat olecki,2021,total,total,13390
316,2814000,Powiat olsztyński,2021,total,total,56720
317,2815000,Powiat ostródzki,2021,total,total,41893
318,2816000,Powiat piski,2021,total,total,20440
319,2817000,Powiat szczycieński,2021,total,total,27819
320,2818000,Powiat gołdapski,2021,total,total,10179
321,2819000,Powiat węgorzewski,2021,total,total,8387
322,2861000,City with powiat status Elbląg,2021,total,total,47074
323,2862000,City with powiat status Olsztyn,2021,total,total,78882
324,3001000,Powiat chodzieski,2021,total,total,21008
325,3002000,Powiat czarnkowsko-trzcianecki,2021,total,total,38146
326,3003000,Powiat gnieźnieński,2021,total,total,64823
327,3004000,Powiat gostyński,2021,total,total,36404
328,3005000,Powiat grodziski,2021,total,total,26285
329,3006000,Powiat jarociński,2021,total,total,32558
330,3007000,Powiat kaliski,2021,total,total,40436
331,3008000,Powiat kępiński,2021,total,total,28866
332,3009000,Powiat kolski,2021,total,total,35908
333,3010000,Powiat koniński,2021,total,total,57837
334,3011000,Powiat kościański,2021,total,total,38494
335,3012000,Powiat krotoszyński,2021,total,total,36617
336,3013000,Powiat leszczyński,2021,total,total,29132
337,3014000,Powiat międzychodzki,2021,total,total,16731
338,3015000,Powiat nowotomyski,2021,total,total,37982
339,3016000,Powiat obornicki,2021,total,total,28096
340,3017000,Powiat ostrowski,2021,total,total,75337
341,3018000,Powiat ostrzeszowski,2021,total,total,26698
342,3019000,Powiat pilski,2021,total,total,59201
343,3020000,Powiat pleszewski,2021,total,total,28386
344,3021000,Powiat poznański,2021,total,total,223404
345,3022000,Powiat rawicki,2021,total,total,28486
346,3023000,Powiat słupecki,2021,total,total,26710
347,3024000,Powiat szamotulski,2021,total,total,45543
348,3025000,Powiat średzki,2021,total,total,29121
349,3026000,Powiat śremski,2021,total,total,29873
350,3027000,Powiat turecki,2021,total,total,37434
351,3028000,Powiat wągrowiecki,2021,total,total,32533
352,3029000,Powiat wolsztyński,2021,total,total,28419
353,3030000,Powiat wrzesiński,2021,total,total,37696
354,3031000,Powiat złotowski,2021,total,total,28853
