,code,powiat,year,sex,education,count
326,3003000,Powiat gnieźnieński,2021,total,total,121395
327,3004000,Powiat gostyński,2021,total,total,63119
328,3005000,Powiat grodziski,2021,total,total,43209
329,3006000,Powiat jarociński,2021,total,total,59953
330,3007000,Powiat kaliski,2021,total,total,70643
331,3008000,Powiat kępiński,2021,total,total,48392
332,3009000,Powiat kolski,2021,total,total,72155
333,3010000,Powiat koniński,2021,total,total,110097
334,3011000,Powiat kościański,2021,total,total,66357
335,3012000,Powiat krotoszyński,2021,total,total,64771
336,3013000,Powiat leszczyński,2021,total,total,48523
337,3014000,Powiat międzychodzki,2021,total,total,30866
338,3015000,Powiat nowotomyski,2021,total,total,63330
339,3016000,Powiat obornicki,2021,total,total,49904
340,3017000,Powiat ostrowski,2021,total,total,137187
341,3018000,Powiat ostrzeszowski,2021,total,total,46959
342,3019000,Powiat pilski,2021,total,total,114955
343,3020000,Powiat pleszewski,2021,total,total,53058
344,3021000,Powiat poznański,2021,total,total,354878
345,3022000,Powiat rawicki,2021,total,total,50612
346,3023000,Powiat słupecki,2021,total,total,49905
347,3024000,Powiat szamotulski,2021,total,total,77684
348,3025000,Powiat średzki,2021,total,total,49921
349,3026000,Powiat śremski,2021,total,total,51777
350,3027000,Powiat turecki,2021,total,total,70316
351,3028000,Powiat wągrowiecki,2021,total,total,58634
352,3029000,Powiat wolsztyński,2021,total,total,47966
353,3030000,Powiat wrzesiński,2021,total,total,66536
354,3031000,Powiat złotowski,2021,total,total,58373
355,3061000,City with powiat status Kalisz,2021,total,total,84677
356,3062000,City with powiat status Konin,2021,total,total,62140
357,3063000,City with powiat status Leszno,2021,total,total,53859
358,3064000,City with powiat status Poznań,2021,total,total,482205
359,3201000,Powiat białogardzki,2021,total,total,39670
360,3202000,Powiat choszczeński,2021,total,total,39739
361,3203000,Powiat drawski,2021,total,total,47487
362,3204000,Powiat goleniowski,2021,total,total,70693
363,3205000,Powiat gryficki,2021,total,total,50343
364,3206000,Powiat gryfiński,2021,total,total,68588
365,3207000,Powiat kamieński,2021,total,total,39884
366,3208000,Powiat kołobrzeski,2021,total,total,68419
367,3209000,Powiat koszaliński,2021,total,total,57314
368,3210000,Powiat myśliborski,2021,total,total,55563
369,3211000,Powiat policki,2021,total,total,70433
370,3212000,Powiat pyrzycki,2021,total,total,32576
371,3213000,Powiat sławieński,2021,total,total,47132
372,3214000,Powiat stargardzki,2021,total,total,103146
373,3215000,Powiat szczecinecki,2021,total,total,64968
374,3216000,Powiat świdwiński,2021,total,total,38924
375,3217000,Powiat wałecki,2021,total,total,44491
376,3218000,Powiat łobeski,2021,total,total,30007
377,3261000,City with powiat status Koszalin,2021,total,total,93083
378,3262000,City with powiat status Szczecin,2021,total,total,349790
379,3263000,City with powiat status Świnoujście,2021,total,total,35988
380,201000,Powiat bolesławiecki,2021,total,tertiary,13420
381,202000,Powiat dzierżoniowski,2021,total,tertiary,14680
382,203000,Powiat głogowski,2021,total,tertiary,15725
383,204000,Powiat górowski,2021,total,tertiary,3962
384,205000,Powiat jaworski,2021,total,tertiary,7222
385,206000,Powiat karkonoski,2021,total,tertiary,10784
386,207000,Powiat kamiennogórski,2021,total,tertiary,5690
387,208000,Powiat kłodzki,2021,total,tertiary,23132
388,209000,Powiat legnicki,2021,total,tertiary,8649
389,210000,Powiat lubański,2021,total,tertiary,7635
390,211000,Powiat lubiński,2021,total,tertiary,20526
391,212000,Powiat lwówecki,2021,total,tertiary,6037
392,213000,Powiat milicki,2021,total,tertiary,4722
393,214000,Powiat oleśnicki,2021,total,tertiary,17419
394,215000,Powiat oławski,2021,total,tertiary,14309
395,216000,Powiat polkowicki,2021,total,tertiary,8859
396,217000,Powiat strzeliński,2021,total,tertiary,6247
397,218000,Powiat średzki,2021,total,tertiary,10340
398,219000,Powiat świdnicki,2021,total,tertiary,27206
399,220000,Powiat trzebnicki,2021,total,tertiary,16214
400,221000,Powiat wałbrzyski,2021,total,tertiary,8218
401,222000,Powiat wołowski,2021,total,tertiary,7666
402,223000,Powiat wrocławski,2021,total,tertiary,50377
403,224000,Powiat ząbkowicki,2021,total,tertiary,8945
404,225000,Powiat zgorzelecki,2021,total,tertiary,13025
405,226000,Powiat złotoryjski,2021,total,tertiary,5906
