,code,powiat,type,year,value
165,1428000,Powiat sochaczewski,grand total,2002,2404.97
166,1429000,Powiat sokołowski,grand total,2002,1851.31
167,1430000,Powiat szydłowiecki,grand total,2002,1763.78
168,1432000,Powiat warszawski zachodni,grand total,2002,2474.61
169,1433000,Powiat węgrowski,grand total,2002,1784.71
170,1434000,Powiat wołomiński,grand total,2002,2056.69
171,1435000,Powiat wyszkowski,grand total,2002,1753.81
172,1436000,Powiat zwoleński,grand total,2002,1806.89
173,1437000,Powiat żuromiński,grand total,2002,1632.54
174,1438000,Powiat żyrardowski,grand total,2002,2097.62
175,1461000,City with powiat status Ostrołęka,grand total,2002,2237.11
176,1462000,City with powiat status Płock,grand total,2002,2742.56
177,1463000,City with powiat status Radom,grand total,2002,2069.0
178,1464000,City with powiat status Siedlce,grand total,2002,2111.64
179,1465000,City with powiat status Capital City Warszawa,grand total,2002,3238.19
180,1601000,Powiat brzeski,grand total,2002,1812.89
181,1602000,Powiat głubczycki,grand total,2002,1786.49
182,1603000,Powiat kędzierzyńsko-kozielski,grand total,2002,2140.54
183,1604000,Powiat kluczborski,grand total,2002,1822.92
184,1605000,Powiat krapkowicki,grand total,2002,2483.63
185,1606000,Powiat namysłowski,grand total,2002,1912.57
186,1607000,Powiat nyski,grand total,2002,1720.63
187,1608000,Powiat oleski,grand total,2002,1846.33
188,1609000,Powiat opolski,grand total,2002,2032.28
189,1610000,Powiat prudnicki,grand total,2002,1712.22
190,1611000,Powiat strzelecki,grand total,2002,1840.68
191,1661000,City with powiat status Opole,grand total,2002,2276.22
192,1801000,Powiat bieszczadzki,grand total,2002,1736.13
193,1802000,Powiat brzozowski,grand total,2002,1651.43
194,1803000,Powiat dębicki,grand total,2002,1849.58
195,1804000,Powiat jarosławski,grand total,2002,1774.22
196,1805000,Powiat jasielski,grand total,2002,1796.53
197,1806000,Powiat kolbuszowski,grand total,2002,1742.39
198,1807000,Powiat krośnieński,grand total,2002,1802.43
199,1808000,Powiat leżajski,grand total,2002,1931.82
200,1809000,Powiat lubaczowski,grand total,2002,1709.4
201,1810000,Powiat łańcucki,grand total,2002,1688.74
202,1811000,Powiat mielecki,grand total,2002,1850.06
203,1812000,Powiat niżański,grand total,2002,1613.55
204,1813000,Powiat przemyski,grand total,2002,1659.36
205,1814000,Powiat przeworski,grand total,2002,1812.22
206,1815000,Powiat ropczycko-sędziszowski,grand total,2002,1811.48
207,1816000,Powiat rzeszowski,grand total,2002,1688.71
208,1817000,Powiat sanocki,grand total,2002,1809.52
