,code,powiat,year,sex,age,count
336,3014000,Powiat międzychodzki,2021,total,total,16731
337,3015000,Powiat nowotomyski,2021,total,total,37982
338,3016000,Powiat obornicki,2021,total,total,28096
339,3017000,Powiat ostrowski,2021,total,total,75337
340,3018000,Powiat ostrzeszowski,2021,total,total,26698
341,3019000,Powiat pilski,2021,total,total,59201
342,3020000,Powiat pleszewski,2021,total,total,28386
343,3021000,Powiat poznański,2021,total,total,223404
344,3022000,Powiat rawicki,2021,total,total,28486
345,3023000,Powiat słupecki,2021,total,total,26710
346,3024000,Powiat szamotulski,2021,total,total,45543
347,3025000,Powiat średzki,2021,total,total,29121
348,3026000,Powiat śremski,2021,total,total,29873
349,3027000,Powiat turecki,2021,total,total,37434
350,3028000,Powiat wągrowiecki,2021,total,total,32533
351,3029000,Powiat wolsztyński,2021,total,total,28419
352,3030000,Powiat wrzesiński,2021,total,total,37696
353,3031000,Powiat złotowski,2021,total,total,28853
354,3061000,City with powiat status Kalisz,2021,total,total,41615
355,3062000,City with powiat status Konin,2021,total,total,28400
356,3063000,City with powiat status Leszno,2021,total,total,28377
357,3064000,City with powiat status Poznań,2021,total,total,279792
358,3201000,Powiat białogardzki,2021,total,total,18093
359,3202000,Powiat choszczeński,2021,total,total,18073
360,3203000,Powiat drawski,2021,total,total,21781
361,3204000,Powiat goleniowski,2021,total,total,36071
362,3205000,Powiat gryficki,2021,total,total,23220
363,3206000,Powiat gryfiński,2021,total,total,33512
364,3207000,Powiat kamieński,2021,total,total,17970
365,3208000,Powiat kołobrzeski,2021,total,total,33742
366,3209000,Powiat koszaliński,2021,total,total,28917
367,3210000,Powiat myśliborski,2021,total,total,26088
368,3211000,Powiat policki,2021,total,total,39544
369,3212000,Powiat pyrzycki,2021,total,total,15820
370,3213000,Powiat sławieński,2021,total,total,22238
371,3214000,Powiat stargardzki,2021,total,total,50914
372,3215000,Powiat szczecinecki,2021,total,total,28756
373,3216000,Powiat świdwiński,2021,total,total,16898
374,3217000,Powiat wałecki,2021,total,total,21486
375,3218000,Powiat łobeski,2021,total,total,13463
376,3261000,City with powiat status Koszalin,2021,total,total,46160
377,3262000,City with powiat status Szczecin,2021,total,total,179608
378,3263000,City with powiat status Świnoujście,2021,total,total,16905
379,201000,Powiat bolesławiecki,2021,total,15-24,3268
380,202000,Powiat dzierżoniowski,2021,total,15-24,3249
381,203000,Powiat głogowski,2021,total,15-24,2678
382,204000,Powiat górowski,2021,total,15-24,1385
383,205000,Powiat jaworski,2021,total,15-24,1600
384,206000,Powiat karkonoski,2021,total,15-24,1741
385,207000,Powiat kamiennogórski,2021,total,15-24,1632
386,208000,Powiat kłodzki,2021,total,15-24,4417
387,209000,Powiat legnicki,2021,total,15-24,1913
388,210000,Powiat lubański,2021,total,15-24,1736
389,211000,Powiat lubiński,2021,total,15-24,2996
390,212000,Powiat lwówecki,2021,total,15-24,1404
391,213000,Powiat milicki,2021,total,15-24,1756
392,214000,Powiat oleśnicki,2021,total,15-24,4642
393,215000,Powiat oławski,2021,total,15-24,2834
394,216000,Powiat polkowicki,2021,total,15-24,2464
395,217000,Powiat strzeliński,2021,total,15-24,1584
396,218000,Powiat średzki,2021,total,15-24,2091
397,219000,Powiat świdnicki,2021,total,15-24,4927
398,220000,Powiat trzebnicki,2021,total,15-24,3430
399,221000,Powiat wałbrzyski,2021,total,15-24,1604
400,223000,Powiat wrocławski,2021,total,15-24,5096
401,224000,Powiat ząbkowicki,2021,total,15-24,1982
402,225000,Powiat zgorzelecki,2021,total,15-24,2806
403,226000,Powiat złotoryjski,2021,total,15-24,1516
404,261000,City with powiat status Jelenia Góra,2021,total,15-24,1826
405,262000,City with powiat status Legnica,2021,total,15-24,2709
406,264000,City with powiat status Wrocław,2021,total,15-24,25239
407,265000,City with powiat status Wałbrzych since 2013,2021,total,15-24,2769
408,401000,Powiat aleksandrowski,2021,total,15-24,1898
409,402000,Powiat brodnicki,2021,total,15-24,3506
410,403000,Powiat bydgoski,2021,total,15-24,4208
411,404000,Powiat chełmiński,2021,total,15-24,2130
412,405000,Powiat golubsko-dobrzyński,2021,total,15-24,1797
413,406000,Powiat grudziądzki,2021,total,15-24,1648
414,407000,Powiat inowrocławski,2021,total,15-24,5169
415,408000,Powiat lipnowski,2021,total,15-24,2487
416,409000,Powiat mogileński,2021,total,15-24,1814
417,410000,Powiat nakielski,2021,total,15-24,3425
418,411000,Powiat radziejowski,2021,total,15-24,1373
419,412000,Powiat rypiński,2021,total,15-24,1697
420,413000,Powiat sępoleński,2021,total,15-24,1850
421,414000,Powiat świecki,2021,total,15-24,3981
422,415000,Powiat toruński,2021,total,15-24,4097
423,416000,Powiat tucholski,2021,total,15-24,2077
424,417000,Powiat wąbrzeski,2021,total,15-24,1430
425,418000,Powiat włocławski,2021,total,15-24,3079
426,419000,Powiat żniński,2021,total,15-24,2838
427,461000,City with powiat status Bydgoszcz,2021,total,15-24,9634
428,462000,City with powiat status Grudziądz,2021,total,15-24,2750
429,463000,City with powiat status Toruń,2021,total,15-24,5861
430,464000,City with powiat status Włocławek,2021,total,15-24,2785
431,601000,Powiat bialski,2021,total,15-24,3583
432,602000,Powiat biłgorajski,2021,total,15-24,2574
433,603000,Powiat chełmski,2021,total,15-24,2187
434,604000,Powiat hrubieszowski,2021,total,15-24,1508
435,605000,Powiat janowski,2021,total,15-24,1243
436,606000,Powiat krasnostawski,2021,total,15-24,1509
437,607000,Powiat kraśnicki,2021,total,15-24,2519
438,608000,Powiat lubartowski,2021,total,15-24,2892
439,609000,Powiat lubelski,2021,total,15-24,4779
440,610000,Powiat łęczyński,2021,total,15-24,1773
441,611000,Powiat łukowski,2021,total,15-24,4354
442,612000,Powiat opolski,2021,total,15-24,1701
443,613000,Powiat parczewski,2021,total,15-24,926
444,614000,Powiat puławski,2021,total,15-24,2724
445,615000,Powiat radzyński,2021,total,15-24,1930
446,616000,Powiat rycki,2021,total,15-24,1884
447,617000,Powiat świdnicki,2021,total,15-24,1740
448,618000,Powiat tomaszowski,2021,total,15-24,2136
449,619000,Powiat włodawski,2021,total,15-24,900
450,620000,Powiat zamojski,2021,total,15-24,3077
451,661000,City with powiat status Biała Podlaska,2021,total,15-24,1328
452,662000,City with powiat status Chełm,2021,total,15-24,1075
453,663000,City with powiat status Lublin,2021,total,15-24,8051
454,664000,City with powiat status Zamość,2021,total,15-24,1143
455,801000,Powiat gorzowski,2021,total,15-24,2605
456,802000,Powiat krośnieński,2021,total,15-24,1954
457,803000,Powiat międzyrzecki,2021,total,15-24,1959
458,804000,Powiat nowosolski,2021,total,15-24,3011
459,805000,Powiat słubicki,2021,total,15-24,1650
460,806000,Powiat strzelecko-drezdenecki,2021,total,15-24,1833
461,807000,Powiat sulęciński,2021,total,15-24,1156
462,808000,Powiat świebodziński,2021,total,15-24,2189
463,809000,Powiat zielonogórski,2021,total,15-24,2814
464,810000,Powiat żagański,2021,total,15-24,2459
465,811000,Powiat żarski,2021,total,15-24,3179
466,812000,Powiat wschowski,2021,total,15-24,1613
467,861000,City with powiat status Gorzów Wielkopolski,2021,total,15-24,3110
468,862000,City with powiat status Zielona Góra,2021,total,15-24,3849
469,1001000,Powiat bełchatowski,2021,total,15-24,3383
470,1002000,Powiat kutnowski,2021,total,15-24,2777
471,1003000,Powiat łaski,2021,total,15-24,1707
472,1004000,Powiat łęczycki,2021,total,15-24,1784
473,1005000,Powiat łowicki,2021,total,15-24,2786
474,1006000,Powiat łódzki wschodni,2021,total,15-24,2176
475,1007000,Powiat opoczyński,2021,total,15-24,2881
476,1008000,Powiat pabianicki,2021,total,15-24,3304
477,1009000,Powiat pajęczański,2021,total,15-24,1841
478,1010000,Powiat piotrkowski,2021,total,15-24,3468
479,1011000,Powiat poddębicki,2021,total,15-24,1517
480,1012000,Powiat radomszczański,2021,total,15-24,3697
481,1013000,Powiat rawski,2021,total,15-24,1626
482,1014000,Powiat sieradzki,2021,total,15-24,4350
483,1015000,Powiat skierniewicki,2021,total,15-24,1427
484,1016000,Powiat tomaszowski,2021,total,15-24,3608
485,1017000,Powiat wieluński,2021,total,15-24,2722
486,1018000,Powiat wieruszowski,2021,total,15-24,2136
487,1019000,Powiat zduńskowolski,2021,total,15-24,2150
488,1020000,Powiat zgierski,2021,total,15-24,4882
489,1021000,Powiat brzeziński,2021,total,15-24,1030
490,1061000,City with powiat status Łódź,2021,total,15-24,18040
491,1062000,City with powiat status Piotrków Trybunalski,2021,total,15-24,1962
492,1063000,City with powiat status Skierniewice,2021,total,15-24,1130
493,1201000,Powiat bocheński,2021,total,15-24,4508
494,1202000,Powiat brzeski,2021,total,15-24,3908
495,1203000,Powiat chrzanowski,2021,total,15-24,3536
496,1204000,Powiat dąbrowski,2021,total,15-24,2346
497,1205000,Powiat gorlicki,2021,total,15-24,3652
498,1206000,Powiat krakowski,2021,total,15-24,10464
499,1207000,Powiat limanowski,2021,total,15-24,6734
500,1208000,Powiat miechowski,2021,total,15-24,1662
501,1209000,Powiat myślenicki,2021,total,15-24,5994
502,1210000,Powiat nowosądecki,2021,total,15-24,10048
503,1211000,Powiat nowotarski,2021,total,15-24,8915
504,1212000,Powiat olkuski,2021,total,15-24,3328
505,1213000,Powiat oświęcimski,2021,total,15-24,5205
506,1214000,Powiat proszowicki,2021,total,15-24,1954
507,1215000,Powiat suski,2021,total,15-24,3673
508,1216000,Powiat tarnowski,2021,total,15-24,7951
509,1217000,Powiat tatrzański,2021,total,15-24,2713
510,1218000,Powiat wadowicki,2021,total,15-24,6770
511,1219000,Powiat wielicki,2021,total,15-24,5142
512,1261000,City with powiat status Kraków,2021,total,15-24,25834
513,1262000,City with powiat status Nowy Sącz,2021,total,15-24,2120
514,1263000,City with powiat status Tarnów,2021,total,15-24,2538
515,1401000,Powiat białobrzeski,2021,total,15-24,1699
516,1402000,Powiat ciechanowski,2021,total,15-24,3022
517,1403000,Powiat garwoliński,2021,total,15-24,4512
518,1404000,Powiat gostyniński,2021,total,15-24,1300
519,1405000,Powiat grodziski,2021,total,15-24,3243
520,1406000,Powiat grójecki,2021,total,15-24,3902
521,1407000,Powiat kozienicki,2021,total,15-24,2117
522,1408000,Powiat legionowski,2021,total,15-24,3778
523,1409000,Powiat lipski,2021,total,15-24,914
