county_code,county_name,ukr_citizens,total_ukr,ukr_citizens_share
1435,Powiat wyszkowski,64,53048,0.0012064545317448348
1436,Powiat zwoleński,18,53048,0.0003393153370532348
1437,Powiat żuromiński,2,53048,3.770170411702609e-05
1438,Powiat żyrardowski,176,53048,0.0033177499622982958
1461,Powiat m. Ostrołęka,17,53048,0.00032046448499472175
1462,Powiat m. Płock,56,53048,0.0010556477152767305
1463,Powiat m. Radom,136,53048,0.002563715879957774
1464,Powiat m. Siedlce,85,53048,0.0016023224249736088
1465,Powiat m. st. Warszawa,7194,53048,0.13561302970894284
1601,Powiat brzeski,155,53048,0.002921882069069522
1602,Powiat głubczycki,24,53048,0.00045242044940431306
1603,Powiat kędzierzyńsko-kozielski,98,53048,0.0018473835017342784
1604,Powiat kluczborski,63,53048,0.0011876036796863217
1605,Powiat krapkowicki,81,53048,0.0015269190167395566
1606,Powiat namysłowski,112,53048,0.002111295430553461
1607,Powiat nyski,85,53048,0.0016023224249736088
1608,Powiat oleski,46,53048,0.0008671391946916
1609,Powiat opolski,254,53048,0.004788116422862313
1610,Powiat prudnicki,44,53048,0.0008294374905745739
1611,Powiat strzelecki,167,53048,0.0031480922937716783
1661,Powiat m. Opole,577,53048,0.010876941637762027
1801,Powiat bieszczadzki,27,53048,0.0005089730055798522
1802,Powiat brzozowski,8,53048,0.00015080681646810435
1803,Powiat dębicki,43,53048,0.000810586638516061
1804,Powiat jarosławski,115,53048,0.0021678479867290002
1805,Powiat jasielski,14,53048,0.0002639119288191826
1806,Powiat kolbuszowski,9,53048,0.0001696576685266174
1807,Powiat krośnieński,24,53048,0.00045242044940431306
1808,Powiat leżajski,18,53048,0.0003393153370532348
1809,Powiat lubaczowski,39,53048,0.0007351832302820088
1810,Powiat łańcucki,42,53048,0.0007917357864575479
1811,Powiat mielecki,42,53048,0.0007917357864575479
1812,Powiat niżański,21,53048,0.00039586789322877393
1813,Powiat przemyski,100,53048,0.0018850852058513044
1814,Powiat przeworski,42,53048,0.0007917357864575479
1815,Powiat ropczycko-sędziszowski,25,53048,0.0004712713014628261
1816,Powiat rzeszowski,79,53048,0.0014892173126225304
