county_code,county_name,ukr_birthplace,total_ukr,ukr_birthplace_share
1812,Powiat niżański,113,176174,0.0006414113319786121
1813,Powiat przemyski,1142,176174,0.006482227797518362
1814,Powiat przeworski,217,176174,0.0012317368056580427
1815,Powiat ropczycko-sędziszowski,59,176174,0.0003348961821835231
1816,Powiat rzeszowski,325,176174,0.0018447671052482205
1817,Powiat sanocki,328,176174,0.001861795724681281
1818,Powiat stalowowolski,266,176174,0.0015098709230646973
1819,Powiat strzyżowski,69,176174,0.00039165824696039145
1820,Powiat tarnobrzeski,74,176174,0.0004200392793488256
1821,Powiat leski,80,176174,0.00045409651821494656
1861,Powiat m. Krosno,210,176174,0.0011920033603142347
1862,Powiat m. Przemyśl,1500,176174,0.008514309716530248
1863,Powiat m. Rzeszów,1698,176174,0.009638198599112241
1864,Powiat m. Tarnobrzeg,165,176174,0.0009365740688183274
2001,Powiat augustowski,38,176174,0.00021569584615209963
2002,Powiat białostocki,114,176174,0.0006470875384562989
2003,Powiat bielski,159,176174,0.0009025168299522064
2004,Powiat grajewski,14,176174,7.946689068761565e-05
2005,Powiat hajnowski,131,176174,0.000743583048576975
2006,Powiat kolneński,31,176174,0.0001759624008082918
2007,Powiat łomżyński,50,176174,0.0002838103238843416
2008,Powiat moniecki,9,176174,5.108585829918149e-05
2009,Powiat sejneński,4,176174,2.270482591074733e-05
2010,Powiat siemiatycki,46,176174,0.0002611054979735943
2011,Powiat sokólski,24,176174,0.00013622895546448396
2012,Powiat suwalski,17,176174,9.649551012067615e-05
2013,Powiat wysokomazowiecki,36,176174,0.00020434343319672597
2014,Powiat zambrowski,77,176174,0.00043706789878188607
2061,Powiat m. Białystok,461,176174,0.0026167311862136298
2062,Powiat m. Łomża,97,176174,0.0005505920283356227
2063,Powiat m. Suwałki,60,176174,0.00034057238866120996
2201,Powiat bytowski,244,176174,0.0013849943805555871
2202,Powiat chojnicki,81,176174,0.00045977272469263343
2203,Powiat człuchowski,117,176174,0.0006641161578893594
2204,Powiat gdański,464,176174,0.0026337598056466903
2205,Powiat kartuski,236,176174,0.0013395847287340924
2206,Powiat kościerski,63,176174,0.00035760100809427046
2207,Powiat kwidzyński,285,176174,0.0016177188461407473
2208,Powiat lęborski,156,176174,0.0008854882105191459
2209,Powiat malborski,363,176174,0.00206046295140032
2210,Powiat nowodworski,95,176174,0.0005392396153802491
2211,Powiat pucki,137,176174,0.000777640287443096
2212,Powiat słupski,325,176174,0.0018447671052482205
