,county_code,county_kts,county_name,type,year,wage,NC_population,YR_population
105,1014.0,10051011814000.0,Powiat sieradzki,grand total,2002,1784.81,98842,110286.0
106,1015.0,10051011915000.0,Powiat skierniewicki,grand total,2002,1845.09,32376,35846.0
107,1016.0,10051011716000.0,Powiat tomaszowski,grand total,2002,1693.06,98105,112977.0
108,1017.0,10051011817000.0,Powiat wieluński,grand total,2002,1595.23,64350,72219.0
109,1018.0,10051011818000.0,Powiat wieruszowski,grand total,2002,1604.22,36068,38294.0
110,1019.0,10051011819000.0,Powiat zduńskowolski,grand total,2002,1759.22,56056,61636.0
111,1020.0,10051011520000.0,Powiat zgierski,grand total,2002,1733.35,145493,149363.0
112,1021.0,10051011521000.0,Powiat brzeziński,grand total,2002,1521.95,26323,28317.0
113,1061.0,10051011661000.0,Powiat m. Łódź,grand total,2002,2102.42,597630,781820.0
114,1062.0,10051011762000.0,Powiat m. Piotrków Trybunalski,grand total,2002,1632.58,60556,74600.0
115,1063.0,10051011963000.0,Powiat m. Skierniewice,grand total,2002,1937.81,40159,43847.0
116,1201.0,10011212001000.0,Powiat bocheński,grand total,2002,1880.68,89762,84891.0
117,1202.0,10011212402000.0,Powiat brzeski,grand total,2002,1730.9,78485,77455.0
118,1203.0,10011212303000.0,Powiat chrzanowski,grand total,2002,2069.07,106559,119050.0
119,1204.0,10011212404000.0,Powiat dąbrowski,grand total,2002,1674.56,50340,51335.0
120,1205.0,10011212205000.0,Powiat gorlicki,grand total,2002,1770.23,91159,93070.0
121,1206.0,10011212006000.0,Powiat krakowski,grand total,2002,2031.24,249758,215692.0
122,1207.0,10011212207000.0,Powiat limanowski,grand total,2002,1684.85,108136,99170.0
123,1208.0,10011212008000.0,Powiat miechowski,grand total,2002,1748.93,41583,49265.0
124,1209.0,10011212009000.0,Powiat myślenicki,grand total,2002,2139.59,107969,96877.0
125,1210.0,10011212210000.0,Powiat nowosądecki,grand total,2002,1733.3,177458,159824.0
126,1211.0,10011216911000.0,Powiat nowotarski,grand total,2002,1721.11,161879,151069.0
127,1212.0,10011212312000.0,Powiat olkuski,grand total,2002,2043.78,95024,105701.0
128,1213.0,10011212313000.0,Powiat oświęcimski,grand total,2002,1949.4,130899,138288.0
129,1214.0,10011212014000.0,Powiat proszowicki,grand total,2002,1743.05,37067,40005.0
130,1215.0,10011216915000.0,Powiat suski,grand total,2002,1762.06,70990,71142.0
131,1216.0,10011212416000.0,Powiat tarnowski,grand total,2002,1573.07,169417,156849.0
